"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"Esv4 Series","Standard_E16-8s_v4","E16-8s_v4_Low_Priority","E16-8s v4","Windows","Low Priority","Low Priority","16","128","32","1023","0","0.698","516.520"
"Eav4/Easv4 Series","Standard_E64-32as_v4","E64-32as_v4","E64-32as_v4","Windows","Standard","Standard","64","512","32","1023","864","6.976","5162.240"
"LSv2 Series","Standard_L16s_v2","L16s_v2_Low_Priority","L16s v2","Linux","Low Priority","Low Priority","16","128","32","1023","3576","0.25","185.00"
"A Series","Standard_A4m_v2","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","4","32","8","1023","40","0.0704","52.0960"
"A Series","Standard_A4_v2","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","4","8","8","1023","40","0.0704","52.0960"
"A Series","Standard_A4","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","8","14","16","1023","605","0.0704","52.0960"
"A Series","Basic_A4","A4_Low_Priority","A4","Linux","Low Priority","Low Priority","8","14","16","1023","240","0.0704","52.0960"
"MS Series","Standard_M64ms","M64ms","M64ms","Linux","Standard","Standard","64","1750","64","1023","2000","10.337","7649.380"
"Esv4 Series","Standard_E4s_v4","E4s_v4_Low_Priority","E4s v4","Windows","Low Priority","Low Priority","4","32","8","1023","0","0.174","128.760"
"Edv4 Series","Standard_E16d_v4","E16d_v4","E16d v4","Windows","Standard","Standard","16","128","32","1023","600","1.888","1397.120"
"Esv4 Series","Standard_E80is_v4","E80is_v4","E80is v4","Windows","Standard","Standard","80","504","32","1023","0","8.72","6452.80"
"NVSv3 Series","Standard_NV48s_v3","NV48s_v3_Low_Priority","NV48s v3","Linux","Low Priority","Low Priority","48","448","32","1023","1344","0.912","674.880"
"NC Promo Series","Standard_NC24rs_v3","NC24","NC24","Windows","Standard","Standard","24","448","32","1023","1344","2.688","1989.120"
"NC Promo Series","Standard_NC24s_v3","NC24","NC24","Windows","Standard","Standard","24","448","32","1023","1344","2.688","1989.120"
"NC Promo Series","Standard_NC24","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","2.688","1989.120"
"NC Promo Series","Standard_NC24r","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","2.688","1989.120"
"NC Promo Series","Standard_NC24_Promo","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","2.688","1989.120"
"NC Promo Series","Standard_NC24r_Promo","NC24","NC24","Windows","Standard","Standard","24","224","64","1023","1440","2.688","1989.120"
"Edsv4 Series","Standard_E20ds_v4","E20ds_v4_Low_Priority","E20ds v4","Linux","Low Priority","Low Priority","20","160","32","1023","750","0.288","213.120"
"MS Series","Standard_M64ls","M64ls","M64ls","Windows","Standard","Standard","64","512","64","1023","2000","8.359","6185.660"
"Dv4 Series","Standard_D2_v4","D2_v4","D2 v4","Linux","Standard","Standard","2","8","4","1023","0","0.096","71.040"
"A Series","Standard_A2m_v2","A2_Low_Priority","A2","Linux","Low Priority","Low Priority","2","16","4","1023","20","0.024","17.760"
